osm_id	name	street_type	wikipedia	wikidata	etymology_wikidata	etymology_wikipedia	etymology_description	local_name	geometry	name_de	name_en	name_fr	name_es	name_ru
3999478	Lilienthaler Heerstraße	secondary	de:Lilienthaler Heerstraße					Langer Jammer	LINESTRING(8.8805719 53.1016271,8.880704 53.1016848)					
3999490	Besenbuschkuhle	residential							LINESTRING(8.6021462 53.5794133,8.6035523 53.5793761,8.6046658 53.5793241,8.6055872 53.5792811,8.6064901 53.5792389)					
3999496	Lotjeweg	tertiary							LINESTRING(8.603777 53.5862431,8.603769 53.5861384)					
3999500	Entenmoorweg	residential							LINESTRING(8.6264448 53.5968218,8.6273807 53.596616,8.6274016 53.5966125,8.6278483 53.5965375,8.6287847 53.5963802,8.6289473 53.5963529,8.6296969 53.596227,8.6304158 53.5961063,8.6310773 53.5960028,8.6316919 53.5959028,8.6319932 53.5958561,8.6327771 53.5957346,8.6334736 53.5956267,8.6339651 53.5955533,8.6343512 53.5954956,8.6345537 53.5954654)					
3999501	Neuemoorweg	residential							LINESTRING(8.6345537 53.5954654,8.634108 53.5951537,8.6336746 53.5948507,8.6332408 53.5945578,8.6325614 53.5940922)					
3999570	Rockwinkeler Heerstraße	secondary							LINESTRING(8.9026586 53.100125,8.9031612 53.0998151,8.9032652 53.099751,8.9035702 53.099563,8.9038486 53.0993936,8.9040876 53.0992537,8.9046432 53.098908,8.9053422 53.0985093,8.9055472 53.0984096,8.9055717 53.0983974,8.9058237 53.0982717,8.9058703 53.0982484,8.906047 53.0981603,8.9060919 53.0981397,8.9061631 53.0981072,8.9063659 53.0980114,8.9064911 53.0979522,8.906691 53.0978578,8.9067586 53.0978278,8.9072125 53.0976264,8.9072892 53.0975929,8.9075029 53.0975013,8.9078348 53.0973542,8.9080861 53.0972428,8.9085794 53.0970242,8.9086921 53.096973,8.9089272 53.0968661,8.9094121 53.0966461,8.9096819 53.0965271,8.9100152 53.0963801,8.9102666 53.0962693,8.9109666 53.0959621,8.9120872 53.0954519,8.9121545 53.0954171,8.9124654 53.0952663,8.9127656 53.0951207,8.9138574 53.0945948,8.9145077 53.0942717,8.9146814 53.0941888)					
3999575	Luisental	residential							LINESTRING(8.8710006 53.0984451,8.8710837 53.0984377,8.871877 53.0983592,8.8722491 53.0983193,8.872642 53.0982739,8.8739182 53.0981403,8.8744311 53.0980853,8.8748066 53.0980451,8.8760935 53.0979163,8.8768716 53.0978384,8.8774904 53.0977764,8.8778585 53.09774,8.8785027 53.0976764,8.8788744 53.0976394,8.8789411 53.097633,8.8797878 53.0975494,8.8807569 53.0974534,8.8819192 53.0973375)					
3999576	Berckstraße	residential							LINESTRING(8.8718439 53.0971284,8.871508 53.0971413,8.8713325 53.0971085)					
3999577	Schorf	residential							LINESTRING(8.8863347 53.0970778,8.8864001 53.0970104,8.8865197 53.0969714,8.8867756 53.0969695,8.886887 53.0969687,8.8870158 53.0969677,8.8872009 53.0969664,8.8872829 53.0969657,8.8875432 53.0969638,8.8876403 53.0969631,8.8876973 53.0969627,8.8877157 53.0969625,8.887732 53.0969624,8.8877674 53.0969621,8.8878696 53.0969614,8.8879019 53.0969612,8.8879488 53.0969608)					
3999578	Sine-Wessels-Straße	residential							LINESTRING(8.8909028 53.0978664,8.890926 53.0978958,8.8911788 53.0982081,8.8914171 53.0985183)					
