street,correct
Q97979218,0.0
Q100692363,0.0
Q104628310,0.0
Q66587521,0.0
Q65769855,0.0
Q99249749,0.0
Q78132772,0.0
Q65768402,1.0
Q99396392,1.0
Q102217014,0.0
Q58044762,0.0
Q45899834,0.0
Q104164939,0.0
Q96090093,0.0
Q105824222,0.0
Q97979967,0.0
Q52557206,1.0
Q98703728,0.0
Q65929155,0.0
Q99396985,0.0
Q27098539,0.0
Q100692652,0.0
Q99397308,0.0
Q72660977,0.0
Q23072578,0.0
Q98006529,0.0
Q100692712,0.0
Q104371383,1.0
Q98966096,0.0
Q67460253,0.0
Q105971232,0.0
Q100076732,0.0
Q98644893,0.0
Q106675185,0.0
Q81209649,0.0
Q98041291,0.0
Q100404729,1.0
Q82920940,0.0
Q97344594,0.0
Q96482146,1.0
Q97391998,0.0
Q98681674,0.0
Q78581962,0.0
Q105085042,0.0
Q98207444,0.0
Q101504536,0.0
Q56237659,1.0
Q99727609,0.0
Q98812137,0.0
Q100598253,0.0
Q52557084,0.0
Q104088021,0.0
Q98602691,0.0
Q98208958,0.0
Q97980166,0.0
Q99396357,0.0
Q99396357,0.0
Q81803284,1.0
Q104812781,0.0
Q58218126,0.0
Q102303742,0.0
Q58314346,0.0
Q104712633,0.0
Q59111057,0.0
Q105070477,0.0
Q96643267,0.0
Q105061206,0.0
Q99740028,1.0
Q76495678,0.0
Q85281828,1.0
Q97775063,0.0
Q67856529,0.0
Q28770196,0.0
Q96359306,0.0
Q98382146,0.0
Q104163980,0.0
Q61740227,1.0
Q98936017,0.0
Q3497679,0.0
Q105539213,0.0
Q100691820,0.0
Q2253315,0.0
Q99396201,0.0
Q60408399,1.0
Q66817283,0.0
Q95175148,1.0
Q75995415,0.0
Q84213650,0.0
Q95689820,0.0
Q101104024,1.0
Q27098483,0.0
Q99727951,0.0
Q99727490,1.0
Q98703728,0.0
Q100235762,0.0
Q104028330,1.0
Q106680050,0.0
Q105971170,0.0
Q97538548,0.0
Q60564064,0.0
Q99727554,1.0
Q91169344,0.0
Q72662443,0.0
Q98205850,0.0
Q61471280,0.0
Q105698305,0.0
Q66587512,0.0
Q97466281,0.0
Q81506169,0.0
Q100692698,0.0
Q98645152,1.0
Q97284980,0.0
Q104680281,0.0
Q56204588,0.0
Q101103985,0.0
Q64767824,1.0
Q98966096,0.0
Q105774942,0.0
Q59588364,0.0
Q99397587,0.0
Q98704328,0.0
Q66686076,0.0
Q93205449,0.0
Q100936818,0.0
Q100692565,0.0
Q75995415,0.0
Q99662717,0.0
Q22290286,0.0
Q98168761,0.0
Q28039145,0.0
Q27495165,0.0
Q98681658,1.0
Q101097460,0.0
Q98266640,0.0
Q56238425,0.0
Q105941552,0.0
Q52556696,0.0
Q52557206,0.0
Q99662717,0.0
Q66817576,0.0
Q91911578,0.0
Q104007620,0.0
Q1796698,0.0
Q99729887,0.0
Q27463791,0.0
Q15739669,1.0
Q97319701,0.0
Q21098794,0.0
Q102360075,1.0
Q96971912,0.0
Q83873753,0.0
Q98068829,0.0
Q102217014,0.0
Q67439618,0.0
Q102333457,0.0
Q106606056,0.0
Q98168334,0.0
Q63436873,0.0
Q77930700,1.0
Q1943766,0.0
Q98703728,0.0
Q58986035,1.0
Q66587144,0.0
Q97823282,0.0
Q104028330,0.0
Q67280613,1.0
Q104028381,0.0
Q72662345,0.0
Q98434021,0.0
Q677808,0.0
Q104028472,0.0
Q106615546,0.0
Q99774860,1.0
Q96631634,1.0
Q90903514,0.0
Q100691865,0.0
Q105727790,0.0
Q78134512,0.0
Q104728255,0.0
Q66817283,0.0
Q105514536,0.0
Q1301634,1.0
Q98644206,0.0
Q99731065,0.0
Q105533045,0.0
Q59167426,1.0
Q105582039,0.0
Q52556695,0.0
Q97285059,1.0
Q66311018,0.0
Q100936742,0.0
Q17379708,0.0
Q105061206,0.0
Q99397458,0.0
Q106615529,0.0
Q21169073,0.0
Q1911999,0.0
Q104507204,0.0
Q105755205,0.0
Q67857421,0.0
Q1525469,0.0
Q99662717,0.0
Q2133678,0.0
Q95391246,0.0
Q104028347,0.0
Q105688138,0.0
Q98435237,0.0
Q99396487,0.0
Q66458639,1.0
Q98810014,0.0
Q1316692,0.0
Q100936693,0.0
Q56243331,0.0
Q67868178,0.0
Q821393,0.0
Q104088021,0.0
Q97485513,0.0
Q100073973,0.0
Q97576706,0.0
Q98644893,0.0
Q98168855,0.0
Q106615549,1.0
Q15649825,0.0
Q99396357,1.0
Q101092578,0.0
Q97584620,0.0
Q66619380,0.0
Q1301634,0.0
Q93638629,0.0
Q105971240,0.0
Q97979653,0.0
Q64734894,0.0
Q97979218,0.0
Q101186849,0.0
Q99734840,0.0
Q98809817,0.0
Q14545187,0.0
Q98702608,0.0
Q56197928,1.0
Q104163714,0.0
Q97285143,1.0
Q104165119,1.0
Q2302197,0.0
Q67867984,0.0
Q100692712,0.0
Q23835422,0.0
Q105698035,0.0
Q56098537,0.0
Q101103878,1.0
Q67887510,0.0
Q65768874,1.0
Q23834460,0.0
Q63256272,0.0
Q86300816,0.0
Q98582411,1.0
Q99501062,0.0
Q105761965,0.0
Q98810817,0.0
Q100692173,0.0
Q98811524,0.0
Q98207444,1.0
Q66817209,0.0
Q2119066,0.0
Q1371780,0.0
Q99734840,0.0
Q15725692,0.0
Q66311013,0.0
Q100712485,1.0
Q104048910,1.0
Q56233673,1.0
Q106109286,0.0
Q80325556,0.0
Q89329897,0.0
Q78135632,0.0
Q66311013,0.0
Q98703711,0.0
Q98704199,1.0
Q105965324,0.0
Q100626070,0.0
Q99938165,0.0
Q99737914,0.0
Q15847611,0.0
Q97458570,0.0
Q99397172,0.0
Q97392822,1.0
Q52557082,1.0
Q98208105,0.0
Q106034316,1.0
Q72662006,0.0
Q17322319,0.0
Q106451488,0.0
Q1628594,0.0
Q89912095,0.0
Q101097685,0.0
Q99397439,0.0
Q98601766,0.0
Q52557246,0.0
Q72661841,0.0
Q104163648,0.0
Q66311041,0.0
Q98530998,1.0
Q104698655,0.0
Q98644447,1.0
Q68012159,0.0
Q97273926,0.0
Q54555873,0.0
Q105924743,0.0
Q85911958,1.0
Q98603622,0.0
